X,Y,count,company_or,addressori,city_1,county,zip,ptinum,approved,rop,srn,naicscode,naicstitle,notes,addressgeo,year,srnunique,ROPNAME
-84.18487726910,41.73944626550,1,"BRIGHTMARK SUNRYZ RNG, LLC",8460 W MULBERRY ROAD,MORENCI,LENAWEE,49256,188-20,07may2021,0,P1158,0,,,8460 W MULBERRY ROAD,2021,P1158,
-83.70877574000,41.79715044070,1,ADM GRAIN COMPANY,6801 US-223 EAST,OTTAWA LAKE,MONROE,49267,223-74A,24aug2021,0,B4311,424510,Grain and Field Bean Merchant Wholesalers,,6801 US-223 EAST,2021,B4311,
-84.03354100140,41.88502424950,1,"PPG INDUSTRIES, INC",961 DIVISION STREET,ADRIAN,LENAWEE,49221,196-04H,12oct2021,0,B8801,325520,Adhesive Manufacturing,,961 DIVISION STREET,2021,B8801,
-83.34645703590,41.89080801410,1,DTE ELECTRIC COMPANY,3500 E FRONT STREET - MONROE POWER PLANT,MONROE,MONROE,48161,72-21,11oct2021,1,B2816,221112,Fossil Fuel Electric Power Generation,,3500 E FRONT STREET,2021,B2816,DTE Electric Company - Monroe Power Plant
-83.43428289100,41.89249353860,1,"CADILLAC ASPHALT, LLC",15203 S TELEGRAPH ROAD,MONROE,MONROE,48161,108-96B,11mar2021,0,N5778,324121,Asphalt Paving Mixture and Block Manufacturing,,15203 S TELEGRAPH ROAD,2021,N5778,
-83.36048901240,41.89368200110,1,"TMS INTERNATIONAL, LLC",3000 E FRONT STREET,MONROE,MONROE,48161,77-21,13oct2021,1,B7061,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,3000 E FRONT STREET,2021,B7061,Gerdau MacSteel Monroe
-86.53412817350,41.89933048180,1,ANR PIPELINE COMPANY,3372 BROWNTOWN ROAD,BRIDGMAN,BERRIEN,49106,92-20,23feb2021,1,N5575,486210,Pipeline Transportation of Natural Gas,,3372 BROWNTOWN ROAD,2021,N5575,ANR Pipeline Company - Bridgman Compressor Station
-84.01316310980,41.91226403040,1,CORNERSTONE CRUSHING,1001 OAKWOOD ROAD,ADRIAN,LENAWEE,49221,12-21,27apr2021,0,P1187,0,,General PTI,1001 OAKWOOD ROAD,2021,P1187,
-83.36661274700,41.91730132420,1,"PIONEER METAL FINISHING, INC",525 TERNES DRIVE,MONROE,MONROE,48162,543-96B,10jun2021,0,N6169,0,,,525 TERNES DRIVE,2021,N6169,
-85.02340353330,41.92320008850,1,"REAL ALLOY RECYCLING, LLC",267 N FILLMORE ROAD - SOUTH PLANT,COLDWATER,BRANCH,49036,63-19B,07oct2021,1,N5957,331314,Secondary Smelting and Alloying of Aluminum,,267 N FILLMORE ROAD,2021,N5957,"Real Alloy Recycling, Inc."
-83.35073599750,41.93386899400,1,YANFENG GLOBAL AUTOMOTIVE,1833 FRENCHTOWN CENTER DRIVE - FRENCHTOWN PLANT #2,MONROE,MONROE,48162,110-04E,07apr2021,0,P1170,0,,,1833 FRENCHTOWNCENTER DRIVE,2021,P1170,
-83.95861264030,41.94879367110,1,WACKER CHEMICAL CORPORATION,3301 SUTTON ROAD,ADRIAN,LENAWEE,49221,155-05D,23sep2021,0,A2840,0,,,3301 SUTTON ROAD,2021,A2840,
-83.65458191540,41.96482931360,1,"CLEAN TECH, INC",620 DUNDEE AZALIA ROAD,DUNDEE,MONROE,48131,8-21,30mar2021,0,P1174,0,,,620 DUNDEE AZALIA ROAD,2021,P1174,
-83.65963704120,41.99234098290,1,AGGREGATE INDUSTRIES,15215 DAY ROAD - RIP RAP PLANT,DUNDEE,MONROE,48131,13-21,04may2021,0,P1189,0,,General PTI,15215 DAY ROAD,2021,P1189,
-83.23402302490,42.00391701980,1,STONECO OF MICHIGAN,7250 REAUME ROAD - NEWPORT QUARRY,NEWPORT,MONROE,48166,38-15C,21jun2021,0,N3597,212312,Crushed and Broken Limestone Mining and Quarrying,,7250 REAUME ROAD,2021,N3597,
-83.49731603800,42.02121362180,1,"STONECO, INC",6837 SCOFIELD ROAD,MAYBEE,MONROE,48159,133-98J,11oct2021,0,B4923,212312,Crushed and Broken Limestone Mining and Quarrying,,6837 SCOFIELD ROAD,2021,B4923,
-85.30740487640,42.02861928480,1,STURGIS VETERINARY HOSPITAL,33260 REICHART ROAD,COLON,SAINT JOSEPH,49040,36-21,07jul2021,0,N7849,0,,,33260 REICHART ROAD,2021,N7849,
-86.42542327120,42.10151812160,1,"SPECIAL-LITE, INC",1394 E EMPIRE AVENUE,BENTON HARBOR,BERRIEN,49022,168-20,24mar2021,0,N6422,0,,,1394 E EMPIRE AVENUE,2021,N6422,
-85.54719251840,42.12041352970,1,"SUMMIT POLYMERS, INC",115 S LEJA DRIVE,VICKSBURG,KALAMAZOO,49097,228-04I,06jan2021,0,N5044,336390,Other Motor Vehicle Parts Manufacturing,,115 S LEJA DRIVE,2021,N5044,
-84.36212090980,42.12536467800,1,"PARTRIDGE ENTERPRISES, INC",4705 INDUSTRIAL DRIVE,CLARK LAKE,JACKSON,49234,26-21,16jun2021,0,N3765,0,,,4705 INDUSTRIAL DRIVE,2021,N3765,
-83.19017502630,42.13056699010,1,"FCA US, LLC",2300 VAN HORN ROAD - TRENTON ENGINE COMPLEX,TRENTON,WAYNE,48183,95-07A,24feb2021,1,B3350,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,,2300 VANHORN ROAD,2021,B3350,FCA US LLC - Trenton Engine Complex
-84.71601098060,42.16466599710,1,"WOODWORTH, INC",29753 M-60 EAST,HOMER,CALHOUN,49245,64-15D,17may2021,0,P0547,332811,Metal Heat Treating,,29753 M-60 EAST,2021,P0547,
-86.17129603690,42.16605198670,1,"BRIGHTMARK RED ARROW RNG, LLC",69444 COUNTY ROAD 687,HARTFORD,VAN BUREN,48063,187-20,08jul2021,0,P1159,0,,,69444 COUNTY ROAD 687,2021,P1159,
-84.03165168950,42.16922291300,1,MARTINREA BISHOP CIRCLE,10501 M-52,MANCHESTER,WASHTENAW,48158,61-14A,21oct2021,0,B3658,326220,Rubber and Plastics Hoses and Belting Manufacturing,,10501 M-52,2021,B3658,
-83.17408438870,42.17231422510,1,"ASH STEVENS, LLC",18665 KRAUSE STREET,RIVERVIEW,WAYNE,48193,31-12B,14oct2021,0,N7519,325412,Pharmaceutical Preparation Manufacturing,,18665 KRAUSE STREET,2021,N7519,
-83.16296409960,42.18730757110,1,DOWNRIVER UTILITY WASTEWATER AUTHORITY,797 CENTRAL STREET,WYANDOTTE,WAYNE,48192,178-20,29jun2021,0,B2118,0,,,797 CENTRAL STREET,2021,B2118,
-83.16628785950,42.19520147990,1,"CADON ACQUISITIONS, LLC",3715 11TH STREET,WYANDOTTE,WAYNE,48192,252-00D,19oct2021,0,A7972,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",,3715 11TH STREET,2021,A7972,
-83.29385405560,42.21120622110,1,C L REICKHOFF COMPANY,26265 NORTHLINE ROAD,TAYLOR,WAYNE,48180,381-97B,18feb2021,0,M3716,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,26265 NORTHLINE ROAD,2021,M3716,
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,66-21,13sep2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,167-20,18jun2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,30-21,01jul2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,37-21,08jul2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,26-18A,02jul2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,Rolled into ROP,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-85.56008731840,42.21571274600,6,"PHARMACIA & UPJOHN COMPANY, LLC",7000 PORTAGE ROAD - A SUBSIDIARY OF PFIZER,KALAMAZOO,KALAMAZOO,49001,135-20,10mar2021,1,B3610,325412,Pharmaceutical Preparation Manufacturing,,7000 PORTAGE ROAD,2021,B3610,Pharmacia & Upjohn - Portage Road
-83.14597096440,42.21810201290,1,BASF CORPORATION CHEMICAL PLANTS,1609 BIDDLE AVENUE,WYANDOTTE,WAYNE,48192,70-21,29sep2021,1,B4359,325199,All Other Basic Organic Chemical Manufacturing,,1609 BIDDLE AVENUE,2021,B4359,BASF Wyandotte - Chemical Plants
-83.62470353190,42.22457422510,1,"POLLARD BANKNOTE, LTD",775 JAMES L HART PARKWAY,YPSILANTI,WASHTENAW,48197,89-99K,23aug2021,0,N1622,323111,Commercial Printing (except Screen and Books),,775 JAMES L HART PARKWAY,2021,N1622,
-84.03324729040,42.22541256430,1,LAFARGE HOLCIM,6700 M-52,MANCHESTER,WASHTENAW,48131,21-21,08jun2021,0,P1197,0,,General PTI,6700 M-52,2021,P1197,
-85.53241103210,42.22712249130,1,"SUMMIT POLYMERS, INC",4750 EXECUTIVE DRIVE,PORTAGE,KALAMAZOO,49002,176-97E,15nov2021,0,N6261,336390,Other Motor Vehicle Parts Manufacturing,,4750 EXECUTIVE DRIVE,2021,N6261,
-83.31856620000,42.24001400000,1,ROMULUS MANUFACTURING & DISTRIBUTION CENTER,28200 WICK ROAD,ROMULUS,WAYNE,48174,350-07D,9/29/2021,0,B2658,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,28200 WICK ROAD,2021,B2658,
-85.54690602490,42.24837501640,1,"ZOETIS, LLC",2605 E KILGORE ROAD,KALAMAZOO,KALAMAZOO,49001,73-17C,17feb2021,0,B7149,0,,,2605 E KILGORE ROAD,2021,B7149,
-83.27510994080,42.25528560220,1,"BUCKEYE TERMINALS, LLC",24501 ECORSE ROAD - TAYLOR EAST TERMINAL,TAYLOR,WAYNE,48180,249-03B,23apr2021,0,N0506,493110,General Warehousing and Storage,,24501 ECORSE ROAD,2021,N0506,
-83.33188727650,42.25792368050,1,SYNERGY PSM CORPORATION,6760 METROPLEX DRIVE,ROMULUS,WAYNE,48174,91-21,16nov2021,0,P1238,0,,General PTI,6760 METROPLEX DRIVE,2021,P1238,
-84.78852902760,42.25809999380,3,"ANDERSONS MARATHON HOLDINGS, LLC (THE)",26250 B DRIVE NORTH,SHERIDAN TOWNSHIP,CALHOUN,49224,119-19B,03feb2021,1,B8570,325193,Ethyl Alcohol Manufacturing,Revised,26250 B DRIVE NORTH,2021,B8570,Andersons Albion Ethanol
-84.78852902760,42.25809999380,3,"ANDERSONS MARATHON HOLDINGS, LLC (THE)",26250 B DRIVE NORTH,SHERIDAN TOWNSHIP,CALHOUN,49224,3-21,03feb2021,1,B8570,325193,Ethyl Alcohol Manufacturing,,26250 B DRIVE NORTH,2021,B8570,Andersons Albion Ethanol
-84.78852902760,42.25809999380,3,"ANDERSONS MARATHON HOLDINGS, LLC (THE)",26250 B DRIVE NORTH,SHERIDAN TOWNSHIP,CALHOUN,49224,144-15G,26feb2021,1,B8570,325193,Ethyl Alcohol Manufacturing,Revised,26250 B DRIVE NORTH,2021,B8570,Andersons Albion Ethanol
-83.41369414860,42.26279838580,1,"BODYCOTE THERMAL PROCESSING, INC",38100 JAY KAY DRIVE,ROMULUS,WAYNE,48174,47-19A,06oct2021,0,M4558,0,,,38100 JAYKAY DRIVE,2021,M4558,
-83.42360986730,42.27305557060,1,"GROUND EFFECTS, LLC",39055 MAPLE ROAD,WAYNE,WAYNE,48184,183-18A,16apr2021,0,P0979,0,,,39055 MAPLE ROAD,2021,P0979,
-83.12131869750,42.27416613250,1,FRITZ PRODUCTS,255 MARION AVENUE,RIVER ROUGE,WAYNE,48218,15-01B,16jul2021,0,M4547,331314,Secondary Smelting and Alloying of Aluminum,,255 MARION AVENUE,2021,M4547,
-83.40813200150,42.27677898120,1,FORD MOTOR COMPANY,37625 MICHIGAN AVENUE - WAYNE ASSEMBLY COMPLEX,WAYNE,WAYNE,48184,102-21,03dec2021,1,A8650,336111,,,37625 MICHIGAN AVENUE,2021,A8650,Ford Motor Company - Wayne Assembly and Michigan Truck
-83.12973479890,42.27964186220,1,U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,RIVER ROUGE,WAYNE,48218,75-21,05oct2021,1,B3518,327420,Gypsum Product Manufacturing,,10090 W JEFFERSON AVENUE,2021,B3518,United States Gypsum
-85.63721709220,42.29621401630,2,"KALSEC, INC",3713 W MAIN STREET,KALAMAZOO,KALAMAZOO,49005,27-21,21jun2021,1,A1991,311942,Spice and Extract Manufacturing,,3713 W MAIN STREET,2021,A1991,"Kalsec, Inc."
-85.63721709220,42.29621401630,2,"KALSEC, INC",3713 W MAIN STREET,KALAMAZOO,KALAMAZOO,49005,158-18A,29mar2021,1,A1991,311942,Spice and Extract Manufacturing,,3713 W MAIN STREET,2021,A1991,"Kalsec, Inc."
-85.58386577550,42.31863569110,1,HAVILAND PRODUCTS COMPANY,2722 N BURDICK STREET,KALAMAZOO,KALAMAZOO,48001,78-19A,09mar2021,0,P1029,325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,2722 N BURDICK STREET,2021,P1029,
-85.20496997290,42.32270300960,1,"WESTROCK CALIFORNIA, LLC",177 ANGELL STREET,BATTLE CREEK,CALHOUN,49037,45-21,03aug2021,1,B4072,322130,Paperboard Mills,General PTI,177 ANGELL STREET,2021,B4072,"WestRock California, LLC"
-83.34036188360,42.32535131380,1,"NASERDEAN REAL ESTATE, LLC",30259 FORD ROAD,GARDEN CITY,WAYNE,48130,2-21,28jan2021,0,P1165,0,,General PTI,30259 FORD ROAD,2021,P1165,
-83.07672579920,42.32913067210,1,"21ST CENTURY SALVAGE, INC",2001 15TH STREET,DETROIT,WAYNE,48216,100-21,30nov2021,0,P1243,0,,General PTI,2001 15TH STREET,2021,P1243,
-83.05916621490,42.33164679370,1,GENERAL SERVICES ADMINISTRATION,985 MICHIGAN AVENUE - FEDERAL BUILDING,DETROIT,WAYNE,48226,216-98A,15jul2021,0,M4803,921130,Public Finance Activities,,985 MICHIGAN AVENUE,2021,M4803,
-83.04424785220,42.33799277450,1,DETROIT EDISON COMPANY,541 MADISON AVENUE - BEACON HEATING PLANT,DETROIT,WAYNE,48226,62-21,31aug2021,1,B2814,221330,Steam and Air-Conditioning Supply,,541 MADISON AVENUE,2021,B2814,Detroit Thermal Beacon Heating Plant
-85.29136099170,42.34339298320,1,VETERANS AFFAIRS MEDICAL CENTER,5500 ARMSTRONG ROAD - BATTLE CREEK VA HEALTHCARE SYSTEM,BATTLE CREEK,CALHOUN,49037,187-10H,02jul2021,0,M3546,622210,Psychiatric and Substance Abuse Hospitals,,5500 ARMSTRONG ROAD,2021,M3546,
-84.84892241930,42.36907715130,1,"JORDAN DEVELOPMENT COMPANY, LLC",20177 23 MILE ROAD,MARSHALL,CALHOUN,49068,76-21,11oct2021,0,P1201,0,,,20177 23 MILE ROAD,2021,P1201,
-82.96564697430,42.37302099930,1,"FCA US, LLC",2101 CONNER STREET - JEFFERSON NORTH ASSEMBLY PLANT,DETROIT,WAYNE,48215,33-20,12may2021,1,N2155,336112,,,2101 CONNER STREET,2021,N2155,Chrysler Group - Jefferson North Assembly Plant
-83.41060457780,42.37924275490,1,"ASCENSION REFLECTION CREMATION SERVICES, INC",37105 INDUSTRIAL ROAD,LIVONIA,WAYNE,48150,55-21,12aug2021,0,P1210,0,,,37105 INDUSTRIAL ROAD,2021,P1210,
-83.44063831400,42.37986198040,1,OERLIKON METCO,41144 CONCEPT DRIVE,PLYMOUTH,WAYNE,48084,91-17B,13apr2021,0,P0824,0,,,41144 CONCEPT DRIVE,2021,P0824,
-83.44554044070,42.38380269860,1,WEBASTO ROOF SYSTEMS,14200 N HAGGERTY ROAD,PLYMOUTH,WAYNE,48170,105-20,17mar2021,0,P1143,0,,,14200 N HAGGERTY ROAD,2021,P1143,
-86.27235102760,42.38418401800,1,W R GRACE & CO-CONN,1421 KALAMAZOO STREET,SOUTH HAVEN,VAN BUREN,49090,141-07L,30jul2021,0,B6519,325411,Medicinal and Botanical Manufacturing,,1421 KALAMAZOO STREET,2021,B6519,
-83.49507731550,42.38771816360,1,"PERFECTION BAKERIES, INC",45789 PORT STREET,PLYMOUTH,WAYNE,48170,5-17B,25feb2021,0,N8040,311812,Commercial Bakeries,,45789 PORT STREET,2021,N8040,
-82.99554396560,42.39973898620,1,"INNER CITY CONTRACTING, INC",9501 CONNER AVENUE,DETROIT,WAYNE,48213,54-21,10aug2021,0,P1221,0,,General PTI,9501 CONNER AVENUE,2021,P1221,
-83.42706015130,42.42136529220,1,SAINT MARY MERCY HOSPITAL,19000 SAINT JOE'S PARKWAY,LIVONIA,WAYNE,48152,121-20,18mar2021,0,P1149,0,,,19000 SAINT JOE'S PARKWAY,2021,P1149,
-83.06261846940,42.42204306290,1,METROPOLITAN ALLOYS CORPORATION,17385 RYAN ROAD,DETROIT,WAYNE,48212,30-08C,19aug2021,0,B3259,0,,,17385 RYAN ROAD,2021,B3259,
-83.03706766250,42.42212692390,1,"FITZGERALD FINISHING, LLC",17450 FILER AVENUE,DETROIT,WAYNE,48212,63-21,31aug2021,0,B3037,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",General PTI,17450 FILER AVENUE,2021,B3037,
-83.00231210100,42.44887818700,1,3M DETROIT ABRASIVES,11900 E 8 MILE ROAD,DETROIT,WAYNE,48205,318-01G,30jul2021,0,N2999,327910,Abrasive Product Manufacturing,,11900 E 8 MILE ROAD,2021,N2999,
-83.38558870530,42.45155260080,1,"FENDT BUILDER'S SUPPLY, INC",22005 GILL ROAD,FARMINGTON,OAKLAND,48335,244-98B,05apr2021,0,F9158,0,,,22005 GILL ROAD,2021,F9158,
-83.04090699320,42.45485699850,1,"FCA US, LLC",21500 MOUND ROAD - WARREN TRUCK ASSEMBLY PLANT,WARREN,MACOMB,48091,13-19B,23jun2021,1,B2767,336112,,,21500 MOUND ROAD,2021,B2767,FCA US LLC - Warren Truck Assembly Plant
-85.69582185040,42.46451894400,1,"OTSEGO PAPER, INC",320 N FARMER STREET,OTSEGO,ALLEGAN,49078,193-19A,22apr2021,1,A0023,322121,,Rolled into ROP,320 N FARMER STREET,2021,A0023,Otsego Paper
-82.98767042490,42.47212845480,1,PIONEER METAL FINISHING,13251 STEPHENS ROAD,WARREN,MACOMB,48089,151-05A,15apr2021,0,N6388,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,13251 STEPHENS ROAD,2021,N6388,
-83.08668199140,42.47358200260,1,AVANCEZ HIGHLAND PARK,1430 E 10 MILE ROAD,HAZEL PARK,OAKLAND,48030,67-21,14sep2021,0,P1217,0,,,1430 E 10 MILE ROAD,2021,P1217,
-83.06589705080,42.47996482180,1,PASLIN COMPANY,25411 RYAN ROAD,WARREN,MACOMB,48091,153-16A,28jul2021,0,P0739,333992,Welding and Soldering Equipment Manufacturing,,25411 RYAN ROAD,2021,P0739,
-82.94467603920,42.48535539140,1,J & L COLLISION,25825 GRATIOT AVENUE,ROSEVILLE,MACOMB,48066,78-21,14oct2021,0,N2642,0,,,25825 GRATIOT AVENUE,2021,N2642,
-82.89772430570,42.49896550670,1,BIX FURNITURE SERVICE,27950 HARPER AVENUE,SAINT CLAIR SHORES,MACOMB,48081,19-21,04jun2021,0,N0465,0,,,27950 HARPER AVENUE,2021,N0465,
